2016/10/14 17:00,宇宙国家「アスガルディア」構想が始動：軌道上から地球を防衛、国民も ...,ロシアや米国など4カ国の宇宙開発専門家らのグループが、衛星軌道上に独立国家「 アスガルディア」を建設する構想を発表した。米ニュースメディアのビジネスインサイダー などが報じている。,Newsweek,http://www.newsweekjapan.jp/stories/world/2016/10/post-6038.php
2016/12/1 20:00,7年後はマイルで宇宙へ？ ANAとHIS、有人宇宙機運航に支援 …,１２月１日、ＡＮＡホールディングスと旅行大手のエイチ・アイ・エス（ＨＩＳ）は、国内唯一の 有人宇宙機開発会社ＰＤエアロスペース（名古屋市）に出資し、宇宙旅行などの実現に 向けて民間主導による宇宙機開発を進めると発表した。写真は千歳 …,Newsweek,http://www.newsweekjapan.jp/stories/world/2016/12/anahis.php
2016/12/2 0:00,宇宙飛行士の視覚障害の謎解明か、障害は不可避？,長期間の宇宙滞在を終えて視覚障害に悩まされる宇宙飛行士を詳しく調べた結果、脳脊髄液が眼球を後ろから押しつぶしてしまう可能性があることが明らかになった。,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/16/120200462/
2016/12/8 0:00,土星探査機カッシーニ、最終ミッションを開始,2017年9月の土星突入の前に、NASAの土星探査機カッシーニが最終ミッションの一環である土星の環への接近を開始した。,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/16/120700471/
2016/12/15 0:00,地球で「火星」を体験できる場所6選,砂漠で、洞窟で、水中で・・・世界各地にある宇宙生活を想定した実験施設を紹介する。,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/16/121400481/
2016/12/16 17:56,宇宙開発は六次産業化を目指せ | ワールド | 最新記事 | ニューズウィーク ...,先日、ある取材を受けている最中に出てきたアイディアだが、なかなか面白い思いつきだ と思ったので、少しここにメモを残しておきたい。このアイディアは北海道における宇宙 開発についての取材の中で思いついたものだが、日本全体にも敷衍 ...,Newsweek,http://www.newsweekjapan.jp/stories/world/2016/12/post-6557.php
2017/1/6 0:00,2017年、絶対に見たい天体ショー7選,息をのむ日食に彗星の来訪、惑星の接近。今年も心躍る天文現象が待っている。今からカレンダーにチェックを入れておこう！,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/17/010500001/
2017/1/6 13:57,宇宙基地に日本の電池設置,国際宇宙ステーションの主電源となる新型バッテリー設置のため、米航空宇宙局（ＮＡＳＡ）の飛行士２人が６日、船外活動を実施した。,swissinfo.ch,http://www.swissinfo.ch/jpn/%E5%AE%87%E5%AE%99%E5%9F%BA%E5%9C%B0%E3%81%AB%E6%97%A5%E6%9C%AC%E3%81%AE%E9%9B%BB%E6%B1%A0%E8%A8%AD%E7%BD%AE/42815654
2017/1/7 0:00,【解説】謎の高速電波バーストの発生源を特定,謎の強力な電波バーストの発生源がついに特定された。この現象の解明への手がかりとなることが期待される。,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/17/010600002/
2017/1/11 0:00,火星から見た地球と月の写真をNASAが公開,さまざまな宇宙探査機が撮影した写真から、地球と月が一緒に写っている写真を集めてみた。宇宙からとらえた地球の姿が見えてくる。,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/17/011000006/
2017/1/11 0:00,ブラックホールは食べ残しを投げ捨てるとの新説,新たなシミュレーションによると、銀河系の中心にある大質量ブラックホールは、近くを通りかかった星をずたずたに引き裂き、丸まった残骸を遠くに投げているとい…,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/16/b/011000045/
2017/1/17 0:00,まるで地球、衛星タイタンの驚くべき写真,もやに包まれた土星の衛星タイタンの表面には多くの湖があり、雨が降り、風も吹いている。,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/17/011600013/
2017/1/30 12:45,NASA、「リアル宇宙兄弟」のデータから長い宇宙生活が人におよぼす影響を確認。,NASAが、長期に宇宙滞在する人体においてDNAメチル化が低下することがわかったと発表しました,livedoor NEWS,http://news.livedoor.com/article/detail/12607326/
2017/1/31 0:00,宇宙から見た地球と雲の最新鮮明画像9点,米国の次世代気象衛星GOES-16が最初に撮影した高解像度画像は、ダイナミックな地球の姿を鮮明に見せてくれる。,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/17/013000030/
2017/2/1 0:00,太陽系外の恒星を回る4惑星、貴重な動画が公開,遠く離れた惑星系の動きを追った数年分の画像から、神秘的な動画が誕生した,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/17/013100033/
2017/2/5 15:55,宇宙長期滞在で細胞の老化に変化？,国際宇宙ステーション（ＩＳＳ）に長期滞在した米飛行士の心身に関する詳細なデータを、 地球上にいた一卵性双生児の兄弟を比較するなどして分析した初期結果が５日までに 報告された。,Cable News Network,https://www.cnn.co.jp/fringe/35096087.html
2017/2/6 0:00,太陽系外惑星へ探査機を送る新手法、科学者が提唱,地球から最も近い恒星プロキシマ・ケンタウリとその惑星まで、石けんサイズの宇宙船を送り込もうという新たなプロジェクトが提案された。,National Geographic,http://natgeo.nikkeibp.co.jp/atcl/news/17/020300039/
2017/2/9 17:36,人工的に流れ星を発生させる人類初の計画が始動 2019年広島県で開催予定,人工衛星から「流れ星の素」を放出し、夜空に流れ星を人工的に発生させる「SHOOTING STAR challenge」プロジェクトが始動します。,livedoor NEWS,http://news.livedoor.com/article/detail/12652664/
